id;time;subscriber;aprefix;destination;invoicegroup;prefix;pbx;direction;volumetimesecs;price;free;forward;servingnetwork;reason;billed;zone
933588393;01-03-2019 09:23;46840836388;Sweden;467658357XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933588409;01-03-2019 09:23;4578772922;Danmark Fastnet;45312637XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933588569;01-03-2019 09:23;46840836388;Sweden;4683478XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933589333;01-03-2019 09:26;46840836388;Sweden;467028130XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933590042;01-03-2019 09:29;4578772916;Danmark Fastnet;45263061XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933590127;01-03-2019 09:29;4578772919;Danmark Fastnet;45294999XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933590179;01-03-2019 09:29;4578772918;Danmark Fastnet;45403883XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;240;1,65;no;0;;0;yes;Norden Mobil (DK)
933590295;01-03-2019 09:30;4578772919;Danmark Fastnet;45294999XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933590739;01-03-2019 09:32;46840836388;Sweden;467298195XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933591008;01-03-2019 09:33;4578772922;Danmark Fastnet;45354777XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
933591218;01-03-2019 09:33;4578772919;Danmark Fastnet;45527827XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933591435;01-03-2019 09:34;46840836388;Sweden;468545333XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933591653;01-03-2019 09:35;46840836388;Sweden;467008331XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933591844;01-03-2019 09:36;4578772919;Danmark Fastnet;45411613XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933591894;01-03-2019 09:36;4578772922;Danmark Fastnet;45239233XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933592206;01-03-2019 09:37;46840308799;Sweden;47980243XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933592842;01-03-2019 09:39;4578772922;Danmark Fastnet;45354747XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;120;0,15;no;0;;0;yes;Norden (DK)
933592951;01-03-2019 09:40;4578772919;Danmark Fastnet;45883333XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden (DK)
933593034;01-03-2019 09:40;4578772919;Danmark Fastnet;45883333XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden (DK)
933593280;01-03-2019 09:41;4578772919;Danmark Fastnet;45883333XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;60;0,1;no;0;;0;yes;Norden (DK)
933593398;01-03-2019 09:41;4578772919;Danmark Fastnet;45883333XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;120;0,15;no;0;;0;yes;Norden (DK)
933593684;01-03-2019 09:42;4578772916;Danmark Fastnet;45217182XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933593930;01-03-2019 09:43;4578772919;Danmark Fastnet;45883333XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden (DK)
933594005;01-03-2019 09:43;46840836388;Sweden;461976180XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933594357;01-03-2019 09:45;4578772919;Danmark Fastnet;45883333XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;180;0,2;no;0;;0;yes;Norden (DK)
933594425;01-03-2019 09:45;46840308799;Sweden;467031004XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933594906;01-03-2019 09:47;46840308799;Sweden;461056284XX;Udland;Sweden;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden
933595352;01-03-2019 09:48;46840836388;Sweden;467352624XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933595590;01-03-2019 09:49;4578772919;Danmark Fastnet;45234109XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
933595710;01-03-2019 09:50;46840308799;Sweden;467079758XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933596036;01-03-2019 09:51;46840836388;Sweden;467084115XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933596084;01-03-2019 09:51;4578772916;Danmark Fastnet;45307517XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933596393;01-03-2019 09:52;46840836388;Sweden;9715676693XX;Udland;United Arab Emirates;firebrand-;ip-pstn;60;1,85;no;0;;0;yes;Asien
933596446;01-03-2019 09:52;4578772922;Danmark Fastnet;45291344XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933596469;01-03-2019 09:52;4578772918;Danmark Fastnet;45611661XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933596797;01-03-2019 09:53;4578772916;Danmark Fastnet;45307528XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933597035;01-03-2019 09:54;4578772919;Danmark Fastnet;45202025XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
933597121;01-03-2019 09:54;4578772922;Danmark Fastnet;45309299XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;60;0,45;no;0;;0;yes;Norden Mobil (DK)
933597190;01-03-2019 09:55;4578772918;Danmark Fastnet;45408045XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
933597349;01-03-2019 09:55;46840836388;Sweden;467061415XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933597540;01-03-2019 09:56;46840836382;Sweden;46334884XX;Udland;Sweden;firebrand-;ip-pstn;60;0,27;no;0;;0;yes;Norden
933597654;01-03-2019 09:56;46840836388;Sweden;467398238XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;0;0,2;no;0;;0;yes;Norden Mobil
933597731;01-03-2019 09:56;4578772918;Danmark Fastnet;45456791XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;120;0,15;no;0;;0;yes;Norden (DK)
933597749;01-03-2019 09:56;46840836382;Sweden;463372334XX;Udland;Sweden;firebrand-;ip-pstn;180;0,41;no;0;;0;yes;Norden
933597791;01-03-2019 09:56;4570200645;Danmark 70 nummer;45918938XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;180;1,25;no;0;;0;yes;Norden Mobil (DK)
933597950;01-03-2019 09:57;46840836388;Sweden;467039828XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933598595;01-03-2019 09:59;4578772918;Danmark Fastnet;45787966XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;120;0,15;no;0;;0;yes;Norden (DK)
933599009;01-03-2019 10:01;4578772919;Danmark Fastnet;45602091XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;0;0,05;no;0;;0;yes;Norden Mobil (DK)
933599086;01-03-2019 10:01;46840836388;Sweden;467293700XX;Udland Mobil;Sweden-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
933599516;01-03-2019 10:02;4578772916;Danmark Fastnet;45229486XX;Danmark Mobil;Danmark Mobil;firebrand-;ip-pstn;120;0,85;no;0;;0;yes;Norden Mobil (DK)
933599696;01-03-2019 10:03;4578772922;Danmark Fastnet;45354747XX;Danmark;Danmark Fastnet;firebrand-;ip-pstn;120;0,15;no;0;;0;yes;Norden (DK)
933599888;01-03-2019 10:04;4533456543;Danmark Fastnet;45214981XX;Danmark Mobil;Danmark Mobil;rackpeoplehq-;ip-pstn;360;2,45;no;0;;0;yes;Norden Mobil (DK)
933600072;01-03-2019 10:04;46840836384;Sweden;47472954XX;Udland Mobil;Norway-Mobile;firebrand-;ip-pstn;60;0,65;no;0;;0;yes;Norden Mobil
